LinearSVC #1
         C     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
4   1.0000  0.00               0.832    3.034859  0.032470  19.647435             0.925892
5   0.0001  0.04               0.741   27.066212  0.039233  20.514307             0.965737
6   0.0010  0.04               0.762   27.066212  0.038015  20.514307             0.965217
7   0.0100  0.04               0.782   27.066212  0.037956  20.514307             0.964698
8   0.1000  0.04               0.796   27.066212  0.038085  20.514307             0.959507
9   1.0000  0.04               0.770   27.066212  0.037914  20.514307             0.930305
10  0.0001  0.08               0.671   40.124335  0.039401  20.771332             0.964309
11  0.0010  0.08               0.698   40.124335  0.036969  20.771332             0.963920
12  0.0100  0.08               0.730   40.124335  0.037051  20.771332             0.963790
13  0.1000  0.08               0.750   40.124335  0.036852  20.771332             0.960545
14  1.0000  0.08               0.687   40.124335  0.036483  20.771332             0.921739
15  0.0001  0.12               0.631   54.730305  0.035677  21.266029             0.961324
16  0.0010  0.12               0.659   54.730305  0.034273  21.266029             0.961454
17  0.0100  0.12               0.691   54.730305  0.034305  21.266029             0.961064
18  0.1000  0.12               0.705   54.730305  0.034335  21.266029             0.957820
19  1.0000  0.12               0.629   54.730305  0.034549  21.266029             0.908371
20  0.0001  0.16               0.551   68.610132  0.034290  19.734853             0.954835
21  0.0010  0.16               0.584   68.610132  0.029061  19.734853             0.954835
22  0.0100  0.16               0.614   68.610132  0.029011  19.734853             0.954445
23  0.1000  0.16               0.631   68.610132  0.029085  19.734853             0.952888
24  1.0000  0.16               0.562   68.610132  0.029139  19.734853             0.882154
25  0.0001  0.20               0.475   83.812499  0.025566  18.855419             0.944452
26  0.0010  0.20               0.500   83.812499  0.023990  18.855419             0.944322
27  0.0100  0.20               0.532   83.812499  0.024169  18.855419             0.943933
28  0.1000  0.20               0.553   83.812499  0.024185  18.855419             0.939779
29  1.0000  0.20               0.475   83.812499  0.024192  18.855419             0.852304
30  0.0001  0.24               0.434   96.172031  0.022970  18.424090             0.930435
31  0.0010  0.24               0.441   96.172031  0.022399  18.424090             0.930565
32  0.0100  0.24               0.479   96.172031  0.022399  18.424090             0.930954
33  0.1000  0.24               0.499   96.172031  0.022288  18.424090             0.927709
34  1.0000  0.24               0.419   96.172031  0.021878  18.424090             0.814666
35  0.0001  0.28               0.365  109.318055  0.020349  18.158846             0.910578
36  0.0010  0.28               0.385  109.318055  0.017082  18.158846             0.910578
37  0.0100  0.28               0.404  109.318055  0.017042  18.158846             0.909799
38  0.1000  0.28               0.419  109.318055  0.017097  18.158846             0.905775
39  1.0000  0.28               0.367  109.318055  0.017066  18.158846             0.771317
MultinomialNBClean #1
     alpha     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0   0.0001  0.00               0.834    3.034859  0.035523  19.647435             0.961583
1   0.0010  0.00               0.843    3.034859  0.032256  19.647435             0.960675
2   0.0100  0.00               0.851    3.034859  0.032229  19.647435             0.958209
3   0.1000  0.00               0.852    3.034859  0.032230  19.647435             0.951979
4   1.0000  0.00               0.832    3.034859  0.032147  19.647435             0.925892
5   0.0001  0.04               0.707   27.066212  0.035140  20.514307             0.961583
6   0.0010  0.04               0.732   27.066212  0.032024  20.514307             0.960675
7   0.0100  0.04               0.769   27.066212  0.031753  20.514307             0.958209
8   0.1000  0.04               0.791   27.066212  0.031551  20.514307             0.951979
9   1.0000  0.04               0.782   27.066212  0.031721  20.514307             0.925892
10  0.0001  0.08               0.520   40.124335  0.035893  20.771332             0.961583
11  0.0010  0.08               0.559   40.124335  0.032377  20.771332             0.960675
12  0.0100  0.08               0.596   40.124335  0.032292  20.771332             0.958209
13  0.1000  0.08               0.665   40.124335  0.032106  20.771332             0.951979
14  1.0000  0.08               0.690   40.124335  0.032341  20.771332             0.925892
15  0.0001  0.12               0.393   54.730305  0.032715  21.266029             0.961583
16  0.0010  0.12               0.417   54.730305  0.032293  21.266029             0.960675
17  0.0100  0.12               0.455   54.730305  0.032334  21.266029             0.958209
18  0.1000  0.12               0.522   54.730305  0.032289  21.266029             0.951979
19  1.0000  0.12               0.598   54.730305  0.032276  21.266029             0.925892
20  0.0001  0.16               0.295   68.610132  0.034712  19.734853             0.961583
21  0.0010  0.16               0.304   68.610132  0.031218  19.734853             0.960675
22  0.0100  0.16               0.326   68.610132  0.031227  19.734853             0.958209
23  0.1000  0.16               0.382   68.610132  0.031157  19.734853             0.951979
24  1.0000  0.16               0.469   68.610132  0.030959  19.734853             0.925892
25  0.0001  0.20               0.235   83.812499  0.030766  18.855419             0.961583
26  0.0010  0.20               0.242   83.812499  0.029787  18.855419             0.960675
27  0.0100  0.20               0.246   83.812499  0.029821  18.855419             0.958209
28  0.1000  0.20               0.293   83.812499  0.029783  18.855419             0.951979
29  1.0000  0.20               0.374   83.812499  0.029907  18.855419             0.925892
30  0.0001  0.24               0.189   96.172031  0.030933  18.424090             0.961583
31  0.0010  0.24               0.195   96.172031  0.029896  18.424090             0.960675
32  0.0100  0.24               0.214   96.172031  0.030078  18.424090             0.958209
33  0.1000  0.24               0.242   96.172031  0.030169  18.424090             0.951979
34  1.0000  0.24               0.303   96.172031  0.029721  18.424090             0.925892
35  0.0001  0.28               0.174  109.318055  0.031159  18.158846             0.961583
36  0.0010  0.28               0.175  109.318055  0.027262  18.158846             0.960675
37  0.0100  0.28               0.182  109.318055  0.027140  18.158846             0.958209
38  0.1000  0.28               0.211  109.318055  0.027166  18.158846             0.951979
39  1.0000  0.28               0.246  109.318055  0.027281  18.158846             0.925892

Job ID: 3178295
Cluster: kale
User/Group: thalvari/thalvari
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 24
CPU Utilized: 00:16:41
CPU Efficiency: 16.75% of 01:39:36 core-walltime
Job Wall-clock time: 00:04:09
Memory Utilized: 27.88 GB
Memory Efficiency: 43.57% of 64.00 GB
