LinearSVC #1
         C     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
14  1.0000  0.28               0.736  145.234976  0.049920  21.328828             0.946009
15  0.0001  0.42               0.691  210.660746  0.058978  21.146423             0.971317
16  0.0010  0.42               0.706  210.660746  0.054585  21.146423             0.971317
17  0.0100  0.42               0.736  210.660746  0.054245  21.146423             0.971317
18  0.1000  0.42               0.742  210.660746  0.054242  21.146423             0.970409
19  1.0000  0.42               0.665  210.660746  0.054125  21.146423             0.946398
20  0.0001  0.56               0.665  271.617892  0.057353  21.010133             0.971317
21  0.0010  0.56               0.691  271.617892  0.053123  21.010133             0.971317
22  0.0100  0.56               0.705  271.617892  0.052978  21.010133             0.970928
23  0.1000  0.56               0.708  271.617892  0.053085  21.010133             0.970279
24  1.0000  0.56               0.601  271.617892  0.053013  21.010133             0.941077
25  0.0001  0.70               0.625  330.179132  0.056677  21.002989             0.971836
26  0.0010  0.70               0.649  330.179132  0.055382  21.002989             0.971836
27  0.0100  0.70               0.678  330.179132  0.055146  21.002989             0.971836
28  0.1000  0.70               0.687  330.179132  0.055201  21.002989             0.971058
29  1.0000  0.70               0.551  330.179132  0.055461  21.002989             0.928358
30  0.0001  0.84               0.615  400.992109  0.051421  20.503602             0.972356
31  0.0010  0.84               0.637  400.992109  0.050076  20.503602             0.972356
32  0.0100  0.84               0.655  400.992109  0.050059  20.503602             0.972226
33  0.1000  0.84               0.649  400.992109  0.049865  20.503602             0.972226
34  1.0000  0.84               0.508  400.992109  0.050007  20.503602             0.923945
35  0.0001  0.98               0.595  463.224537  0.055567  21.274638             0.971707
36  0.0010  0.98               0.618  463.224537  0.052541  21.274638             0.971707
37  0.0100  0.98               0.651  463.224537  0.052416  21.274638             0.971707
38  0.1000  0.98               0.650  463.224537  0.052461  21.274638             0.970668
39  1.0000  0.98               0.480  463.224537  0.052568  21.274638             0.912914
MultinomialNBClean #1
     alpha     p  test_mean_accuracy    time_err  time_mod   time_pre  train_mean_accuracy
0   0.0001  0.00               0.834   14.329961  0.034071  20.153122             0.961583
1   0.0010  0.00               0.843   14.329961  0.031535  20.153122             0.960675
2   0.0100  0.00               0.851   14.329961  0.031524  20.153122             0.958209
3   0.1000  0.00               0.852   14.329961  0.031577  20.153122             0.951979
4   1.0000  0.00               0.832   14.329961  0.031625  20.153122             0.925892
5   0.0001  0.14               0.778   81.746870  0.032177  20.129193             0.961583
6   0.0010  0.14               0.801   81.746870  0.030745  20.129193             0.960675
7   0.0100  0.14               0.818   81.746870  0.030896  20.129193             0.958209
8   0.1000  0.14               0.825   81.746870  0.030692  20.129193             0.951979
9   1.0000  0.14               0.808   81.746870  0.030598  20.129193             0.925892
10  0.0001  0.28               0.708  145.234976  0.032742  21.328828             0.961583
11  0.0010  0.28               0.729  145.234976  0.031990  21.328828             0.960675
12  0.0100  0.28               0.751  145.234976  0.032067  21.328828             0.958209
13  0.1000  0.28               0.765  145.234976  0.031983  21.328828             0.951979
14  1.0000  0.28               0.754  145.234976  0.032016  21.328828             0.925892
15  0.0001  0.42               0.575  210.660746  0.033236  21.146423             0.961583
16  0.0010  0.42               0.605  210.660746  0.030093  21.146423             0.960675
17  0.0100  0.42               0.643  210.660746  0.029999  21.146423             0.958209
18  0.1000  0.42               0.683  210.660746  0.029996  21.146423             0.951979
19  1.0000  0.42               0.680  210.660746  0.030002  21.146423             0.925892
20  0.0001  0.56               0.451  271.617892  0.032731  21.010133             0.961583
21  0.0010  0.56               0.477  271.617892  0.028945  21.010133             0.960675
22  0.0100  0.56               0.517  271.617892  0.028856  21.010133             0.958209
23  0.1000  0.56               0.563  271.617892  0.028861  21.010133             0.951979
24  1.0000  0.56               0.582  271.617892  0.028881  21.010133             0.925892
25  0.0001  0.70               0.337  330.179132  0.030330  21.002989             0.961583
26  0.0010  0.70               0.363  330.179132  0.028864  21.002989             0.960675
27  0.0100  0.70               0.387  330.179132  0.028824  21.002989             0.958209
28  0.1000  0.70               0.445  330.179132  0.028878  21.002989             0.951979
29  1.0000  0.70               0.451  330.179132  0.028840  21.002989             0.925892
30  0.0001  0.84               0.261  400.992109  0.027211  20.503602             0.961583
31  0.0010  0.84               0.272  400.992109  0.025673  20.503602             0.960675
32  0.0100  0.84               0.290  400.992109  0.027754  20.503602             0.958209
33  0.1000  0.84               0.320  400.992109  0.026343  20.503602             0.951979
34  1.0000  0.84               0.353  400.992109  0.025671  20.503602             0.925892
35  0.0001  0.98               0.216  463.224537  0.030438  21.274638             0.961583
36  0.0010  0.98               0.218  463.224537  0.027032  21.274638             0.960675
37  0.0100  0.98               0.233  463.224537  0.027045  21.274638             0.958209
38  0.1000  0.98               0.261  463.224537  0.027038  21.274638             0.951979
39  1.0000  0.98               0.276  463.224537  0.027040  21.274638             0.925892

Job ID: 3178293
Cluster: kale
User/Group: thalvari/thalvari
State: COMPLETED (exit code 0)
Nodes: 1
Cores per node: 24
CPU Utilized: 00:42:20
CPU Efficiency: 17.41% of 04:03:12 core-walltime
Job Wall-clock time: 00:10:08
Memory Utilized: 33.24 GB
Memory Efficiency: 51.93% of 64.00 GB
